SMILES,CYP2C9 Substrate Class,CYP2D6 Substrate Class,CYP3A4 Substrate Class,CYP2C9 Activity Class,CYP2D6 Activity Class,CYP3A4 Activity Class,CYP2C9 Inhibitor Class,CYP2D6 Inhibitor Class,CYP3A4_ Inhibitor Class
NNCCC1=CC=CC=C1,0,,0,0,1,0,0,NA,0
C[NH+](C)CCC(C1=CC=CC=C1)C2=CC=CC=[NH+]2,0,,0,,,,NA,NA,NA
NC(=O)C1=CN=CC=N1,,1,0,0,0,0,NA,0,0
CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,0,0,0,0,0,0,0,0,0
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,0,1,0,0,1,0,0,subs/inhib,0
CN(CC#C)CC1=CC=CC=C1,0,1,0,0,0,0,0,0,0
CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,0,0,0,1,0,0,1,0,0
CNCCCC1C2=C(C=CC=C2)C=CC3=C1C=CC=C3,1,1,0,0,1,0,0,subs/inhib,0
CN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1,0,1,1,0,1,0,0,subs/inhib,0
C(N1CCN(CC1)C2=NC=CC=N2)C3=CC=C4OCOC4=C3,0,1,0,0,1,1,0,subs/inhib,1
CCN(CC)CCNC(=O)C1=CC=C(N)C=C1,0,0,0,0,0,0,0,0,0
CCCNC(C)C(=O)NC1=C(C)C=CC=C1,0,0,0,0,0,0,0,0,0
CCCN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,0,0,0,0,0,0,0,0,0
